index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
169,180,3370783520633610253566,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"Between McGregor and Dorchester there is no crosswalk, that's a half mile. Traffic routinely speeds on and off the freeway here. It's rediculous to expect someone to walk that far to simply get to the nearest crosswalk.",walks,EARNSHAW AV & RYAN AV,Reading Rd,Walnut Hills,
170,181,2383024521823834955237,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,There was a pedestrian struck at this intersection on 1/23. She was in the crosswalk with the walk light. The car did not stop. Vehicles often do not yield to pedestrians in the cross walk..,walks,MONTANA AV & HARRISON AV,Montana Av,Westwood,"Yes, cars hardly look at this intersection. Extremely dangerous for pedestrians. I agree"
173,173,3708440576037590026389,Speeding,Speeding,2/7/2018,Wed,Several houses and pedestrian s hit as speeding trafficking jumps from street to sidewalks and yards as they round the curve.,walks,E MCMILLAN ST & WILLIAM H TAFT RD,E McMillan St,East Walnut Hills,I run here and many cars do not stop at the stop sign.   This needs a light Agreed. Agreed. A very serious and ongoing problem. Agreed!
177,182,4762205919447622279379,""" src=""images/13 - Roadway issue.png""></span>&nbsp;Parking on the sidewalk",Parking on the sidewalk,2/7/2018,Wed,,walks,WARD ST & CHANDLER ST,Ward St,Madisonville,
178,183,4284234771742847747994,""" src=""images/05 - Red light running.png""></span>&nbsp;Vehicles run red lights or stop signs",Vehicles run red lights or stop signs,2/7/2018,Wed,"as cars head northbound, there is a hill and many are going too fast to see the light and to stop when the light here is red.  both driving and walking you need to be extra cautious in this intersection!",walks,MONTGOMERY RD & ROBISON RD,Montgomery Rd,Kennedy Heights,
179,184,2383297554623834955237,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,It is nearly impossible to turn left onto Harrison Ave. from Montana because cars run the red light. It would be helpful to have an arrow at this light. There is already a designated turn lane.,drives,RUEHLMAN PL & HARRISON AV,Harrison Av,Westwood,"This is not related to pedestrian safety, but I agree - turn arrows are needed (all 4 directions) at this intersection."
180,185,4282199577542822215895,Speeding,Speeding,2/7/2018,Wed,"There is almost no regard for the 25 MPH speed limit in this area, and even less for the school zone speed limit during restricted hours.",walks,RIDGE AV & PARKVIEW AV,Ridge Av,Pleasant Ridge,"I agree. They usually are very impatient with me when I'm going 20 mph for the school zone. I agree I agree In regards to the intersection of Ridge Rd & Woodward Rd., my friend is a crossing guard there during the morning and afternoon.  Cars will turn right on RED without regard for the posted sign, and speeding through this area is always a problem. i agree"
185,174,3367974155733680081396,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Multiple times I?ÇÖve been swiped by cars while pushing my child in a stroller with the walk sign is illuminated.,walks,E LIBERTY ST & SYCAMORE ST,Sycamore St,Over-the-Rhine,Agreed. This is an unsafe crosswalk because drivers do not stop and they speed through here. I agree Agree. Vehicles turning onto sycamore from Liberty do not stop to make sure the crosswalk is clear.
188,186,4264044035242646300254,Other,Other,2/7/2018,Wed,"Left turn arrow is too short, oncoming traffic is too great to allow left turn without longer arrow.",drives,KENNEDY AV & DUCK CREEK RD,Duck Creek Rd,Madisonville,
189,175,3713531132837135362220,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,I've asked the city numerous times to put in a crosswalk at this intersection. Cars fly up Martin Dr and turn right w/o stopping onto Eden Park Dr despite heavy pedestrian traffic.,walks,EDEN PARK DR & MARTIN DR,Martin Dr,Walnut Hills,Crosswalks needed. More signage. Enforce speeds. Agree. This an incredibly dangerous intersection for pedestrians Agree
192,176,2970224989329702699727,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,When driving southbound on Hamilton Ave. the crosswalk in front of Northside Tavern is often difficult to see due to how close to the crosswalk cars are allowed to park. The parked cars often block the drivers' view of pedestrians in the crosswalk.,drives,HAMILTON AV & LINGO ST,Hamilton Av,Northside,need improved lighting at night Agree! Agree
195,187,3708440576037590026389,Speeding,Speeding,2/7/2018,Wed,Destruction of property as speeding vehicles leave roadway onto property. City refuses to take any action to help reduce speeding,walks,E MCMILLAN ST & CLEINVIEW AV,E McMillan St,East Walnut Hills,Agreed. Agreed.
197,193,3713536222037143853341,Speeding,Speeding,2/7/2018,Wed,Cars routinely speed on this stretch. Vehicular traffic should be reduced to one lane each direction to discourage speeding.,walks,CLIFF DR BRIDGE & EDEN PARK DR,Eden Park Dr,Walnut Hills,I agree Agree. Rarely does anyone stop for the cross walk
199,194,1156495462911569113996,Other,Other,2/7/2018,Wed,Sewage smell most days above freezing between CRC and school.,walks,HOME CITY AV & ELCO ST,Home City Av,Sayler Park,Yes - this spot usually smells like sewage. very smelly most days
201,188,3713536222037143853341,No Bike Facilities,No Bike Facilities,2/7/2018,Wed,This would the ideal place for a bike-protected lane in each direction. There's barely any car traffic outside of rush hour and a bike lane buffer would also make pedestrians feel safer.,bikes,CLIFF DR BRIDGE & EDEN PARK DR,Eden Park Dr,Walnut Hills,
202,189,4250594525942513765035,Other,Other,2/7/2018,Wed,"This is a generally very unsafe driving situation, with traffic approaching this intersection from 5 different directions and only one stop sign.",drives,DRAKEWOOD DR & MARKBREIT AV,Markbreit Av,Oakley,Agree!
203,195,3327369698833575917023,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,2/7/2018,Wed,,drives,E 4TH ST & POSTAL AL,E 4th St,Downtown,
204,190,3357826705933479046603,""" src=""images/05 - Red light running.png""></span>&nbsp;Vehicles run red lights or stop signs",Vehicles run red lights or stop signs,2/7/2018,Wed,,drives,E OGDEN PL & E OGDEN PL TERM E OF VINE ST,Walnut St,Downtown,
205,196,3352458071437230320650,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,Lots of Mt Adams residents use this intersection to access Eden Park. A crosswalk is desperately needed to keep residents safe.,walks,PARKSIDE PL & MARTIN DR,Parkside Pl,Mt. Adams,
206,191,4077368122240774502039,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Erie and Edwards,walks,EDWARDS RD & GREGSON PL,Edwards Rd,Hyde Park,
207,192,2383297554623834955237,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"Now that the business district is growing, there is a need for a crosswalk at this intersection. Many patrons of the brewery jaywalk crossing Harrison Ave. rather the walk to the end of the block (an inconvenient distance).",walks,RUEHLMAN PL & HARRISON AV,Harrison Av,Westwood,"I agree Agreed- speed limit needs to be lowered, AND Crosswalk needed here. It might be prudent to put a light as well as a cross walk at Ruehlman & Harrison.  I've witnessed an accident at this intersection while visiting the business on the corner, with cars parked on the street, it is not easy to see oncoming traffic. I agree.  Additional businesses in revitalized district result in more pedestrians.  Need to lower speed limit on Harrison to 25 as well."
211,197,4280998512742810275676,Speeding,Speeding,2/7/2018,Wed,Speed limit is set too high on Lester Rd.,walks,LESTER RD & PARKVIEW AV,Lester Rd,Pleasant Ridge,I agree
212,198,3361801305933623162336,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"There is no crosswalk on the south side of this intersection, despite this being the entrance to the city's premier park. Vehicle traffic is minimal, even at rush hour.",walks,EDEN PARK DR & GILBERT AV,Eden Park Dr,Walnut Hills,
213,199,1539051945715395669116,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Vehicles on 50 often fail to notice the change of the stop light. Light needs to flash or otherwise be more visible.,drives,RIVER RD & DART ST,River Rd,Riverside,AGREE
214,200,4283012689142831156578,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,MONTGOMERY RD & WOODMONT AV,Woodmont Av,Pleasant Ridge,I agree drivers try to turn before you step off the sidewalk.  You almost need to make eye contact to make sure they are going to let you cross. I agree I agree. I agree. i agree
219,201,3350277037633610491665,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,The crosswalk at this location is inviting death or serious injury. Cars never stop for pedestrians. The approach to the crosswalk from I-71 should be narrowed and a 25-mph speed limit enforced.,walks,GILBERT AV BRIDGE & I-71 SB EXWY,Gilbert Av,Pendleton,Agree!!!!...
220,202,2371860751823719347630,Speeding,Speeding,2/7/2018,Wed,Cars speed through the curve at Harrison and Kenkel and lose control. There have been four bad accidents in the last 18 months in this area. Often times cars go up onto sidewalk and crash into buildings.,walks,HARRISON AV & CHEV|CINC CORPLINE,Harrison Av,,
221,209,3368055114833581430648,Speeding,Speeding,2/7/2018,Wed,"Even though there are tons of kids playing at the park and crossing the crosswalk here, cars drive very fast down this portion of Sycamore.",walks,WOODWARD ST & YUKON ST,Sycamore St,Over-the-Rhine,"The ""Stop for Pedestrians"" sign seemed to be more effective than the new ""Yield to Pedestrians"" sign. Perhaps drivers were confused because these signs are fairly new to Cincinnati, but we should be standardizing on Stop not Yield. Stop for ... (in middle of crosswalk) was effective. That sign disappeared.The newest sign says Yield. Drivers get confused, must be thinking people must yield to their cars which speed up within striking distance. Bring back Stop Sign, please."
223,203,4077295293340675573119,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Edwards and Madison,drives,EDWARDS RD & MADISON RD,Madison Rd,,Agree - metro bus and cars all run lights and/or block intersection.  This intersection is a NIGHTMARE! Vehicles (including Metro bus) routinely block intersection at rush hour. City police nonplussed when reported. agree
226,204,4281027567642810415978,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Other signs in PR were changed from No turn during school hour to just No Turn.  This one should be changed too!,walks,LESTER RD & MONTGOMERY RD,Lester Rd,Pleasant Ridge,i agree Speeding and cars running red lights People run this red light every morning when we are walking to school any way. I agree this light should be no turn on red at all times.
229,210,4240573051842418240325,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"Cars speed on Erie through the Clark Montessori school zone, endangering students.  Better crosswalk signage needed.",drives,BAYARD DR & ERIE AV,Erie Av,Hyde Park,I agree. I agree.
231,211,2989910102329700940372,Speeding,Speeding,2/7/2018,Wed,"Cars constantly break the speed limit due to no enforcement, endangering pedestrians and other vehicles.",bikes,HOBART AV & HAMILTON AV,Hamilton Av,Northside,Yes! People freak out when a car is waiting to turn left and fly wildly around them. It's insane. People speed for lots of reasons. I don't think people speed on Hamilton because they know that studies have been done that show enforcement is down... having no parked cars on Hamilton may increase speeding but could help drivers see people crossing
233,212,1156295359711566163794,Other,Other,2/7/2018,Wed,sidewalk often mud filled.,walks,PARKLAND AV & ELCO ST,Elco St,Sayler Park,mud-filled/leaf filled and broken glass
234,213,3350277037633610491665,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,"I submitted the other request at this location. I meant to use this marker (vehicles do not yield at crosswalks). The crosswalk is very important, but it needs to be enforced.",walks,GILBERT AV BRIDGE & I-71 SB EXWY,Gilbert Av,Pendleton,"yes, cars cannot really see pedestrians-should be something to slow down drivers and maybe a crosswalk button to start a flashing signal, so pedexstrians can activate it"
